"300001","29288"
"300002","38662"
"300003","854"
"300004","29043"
"300005","30741"
"300006","8209"
"300007","28616"
"300008","22656"
"300009","24094"
"300010","30827"
"300011","12891"
"300013","3474"
"300015","37548"
"300016","22979"
"300017","6349"
"300019","1300"
"300020","16035"
"300021","10755"
"300026","2619"
"300031","32816"
"300034","1559"
"300035","10661"
"300039","3743"
"300040","33796"
"300041","1343"
"300042","15409"
"300043","6805"
"300045","34509"
"300050","34133"
"300051","24908"
"300053","28616"
"300054","1441"
"300056","18285"
"300059","18180"
"300061","32484"
"300064","13188"
"300066",""
"300067","3474"
"300068","8155"
"300069","33810"
"300072","15906"
"300073","8709"
"300074","22656"
"300075","38691"
"300079","1490"
"300080","11440"
"300081","17034"
"300082","37379"
"300083","3631"
"300085","22716"
"300090","36305"
"300096","23691"
"300100","21686"
"300101","15459"
"300102","15541"
"300103","22716"
"300105","8155"
"300107","29900"
"300108","34509"
"300109","5066"
"300110","10086"
"300111","38696"
"300112","37548"
"300115","23249"
"300116","15401"
"300117","9410"
"300119","29900"
"300120","2214"
"300121","13813"
"300122","33770"
"300125","23574"
"300126","10661"
"300128","35777"
"300130","20860"
"300131","38678"
"300132","15459"
"300133","21133"
"300134","1380"
"300135","37771"
"300136","26408"
"300139","29043"
"300140","11765"
"300141","27439"
"300142","15409"
"300143","2040146"
"300146","4398"
"300148","33686"
"300149","29900"
"300150","6309"
"300152","38693"
"300153","24229"
"300154","18575"
"300155","36215"
"300156","3474"
"300158","13652"
"300161","34024"
"300162","91"
"300163","38691"
"300165","2176"
"300166","8155"
"300168","15459"
"300169","4490"
"300170","10893"
"300171","9530"
"300172","29703"
"300173","4279"
"300174","337"
"300176","5853"
"300178","1968"
"300179","3043"
"300180","19020"
"300182","37771"
"300184","38693"
"300186","23029"
"300189","3043"
"300191","1680"
"300192","38706"
"300194","4083"
"300195","7862"
"300197","33770"
"300199","35150"
"300203","33342"
"300204","1941213"
"300206","4531"
"300207","28736"
"300211","15572"
"300212","26310"
"300214","1409"
"300216","2112692"
"300218","2424"
"300219","6180"
"300221","6440"
"300223","1968"
"300224","31278"
"300225","5190"
"300226","2424"
"300227","37843"
"300229","38620"
"300230","6065"
"300231","24181"
"300232","8049"
"300233","3354"
"300234","8754"
"300235","26592"
"300237","4853"
"300238","9254"
"300239","38325"
"300242","31641"
"300243","10387"
"300247","36384"
"300249","11545"
"300250",""
"300251","25837"
"300253","32632"
"300256","2660"
"300257","38045"
"300258","8621"
"300260","2424"
"300261",""
"300262","32514"
"300263","38561"
"300264","37055"
"300266","36706"
"300267","16974"
"300269","37989"
"300270","36384"
"300271","1450"
"300272","10026"
"300273","1968"
"300274","6309"
"300275","34895"
"300277","12943"
"300278","615"
"300279","24181"
"300280","3043"
"300282","34149"
"300283","13433"
"300288","18936"
"300290","27009"
"300291","27457"
"300292","31278"
"300295","37843"
"300297","10387"
"300300",""
"300301","34133"
"300302","21030"
"300304","10026"
"300305","32632"
"300307","15497"
"300308","615"
"300309","25035"
"300311","12707"
"300312","2947"
"300313","10784"
"300317","2660"
"300318","45163"
"300319","7643"
"300320","3043"
"300322","821"
"300323","30838"
"300324","12943"
"300325","188"
"300329","38371"
"300330","4893"
"300332","23553"
"300335","2947"
"300337","10593"
"300338","36324"
"300340","37181"
"300341","3474"
"300343","31038"
"300345","10141"
"300346","6309"
"300347","23234"
"300349","19479"
"300350","10593"
"300352","38126"
"300353","5662"
"300354","6440"
"300355","3354"
"300358","20860"
"300361","33996"
"300362","615"
"300363","36706"
"300364","4853"
"300365","31136"
"300366","745"
"300367","37346"
"300368","36565"
"300371","2688"
"300372","38325"
"300374","20938"
"300375","234"
"300377","38721"
"300378","4853"
"300379","3043"
"300381","37974"
"300382","9922"
"300384","5472"
"300387","31038"
"300388","813"
"300392","2199"
"300394","8709"
"300395","38721"
"300396","12943"
"300397","37346"
"300398","38371"
"300401","5618"
"300403","1954"
"300407","29091"
"300408","23234"
"300409","22656"
"300410","4081"
"300415","23356"
"300418","22656"
"300420",""
"300425","28552"
"300428","8763"
"300429","29690"
"300431","26933"
"300432","8088"
"300435","28002"
"300437","14167"
"300438","2494"
"300440","46478"
"300441","821"
"300442","31415"
"300443","493"
"300447","13154"
"300450",""
"300451","32632"
"300452","37055"
"300453","33272"
"300454","34329"
"300460","312"
"300461","8709"
"300462","6691"
"300463","38733"
"300464","30674"
"300465","34596"
"300466","30052"
"300468","5472"
"300469","3354"
"300470","4308"
"300473","6309"
"300474","4308"
"300476","14966"
"300477","22331"
"300478","1190"
"300479","14606"
"300480","24316"
"300481","5618"
"300482","60"
"300483","8709"
"300484","34863"
"300486","27194"
"300492","7264"
"300493","22656"
"300494","5472"
"300497","23771"
"300501","31136"
"300502","27009"
"300503","21704"
"300506","30052"
"300507","1323"
"300508","11545"
"300510","4337"
"300511","22656"
"300512","1685"
"300513","34218"
"300514","33159"
"300517","27009"
"300518","1685"
"300520",""
"300523","592"
"300524","28380"
"300526","38739"
"300528","20003"
"300530","1358"
"300531","22364"
"300532","29491"
"300533","2603"
"300534","38325"
"300535","26210"
"300536","241536"
"300537","1559"
"300538","37760"
"300539","19130"
"300540","13744"
"300541","9479"
"300542","914"
"300543","1559"
"300546","15401"
"300547","2044"
"300548","38691"
"300550","8709"
"300552","914"
"300555","31136"
"300556","28380"
"300557","38325"
"300560","34820"
"300561","18382"
"300562","3474"
"300564","38749"
"300565","1462"
"300566","34820"
"300567","5987"
"300568","30461"
"300570","21838"
"300571","27805"
"300573","3853"
"300574","1865"
"300575","14894"
"300579","37771"
"300583","5284"
"300585","12967"
"300588",""
"300589","20164"
"300591","16076"
"300597","33254"
"300599","2017"
"300600","1559"
"300601","33006"
"300604","1965"
"300608","16266"
"300609","37231"
"300610",""
"300615","7122"
"300620","10661"
"300621","2841"
"300624","21849"
"300625","364"
"300626","26210"
"300627","12967"
"300628","6903"
"300630","28053"
"300632","1075"
"300635","32588"
"300636","23574"
"300637","23771"
"300638","6234"
"300640","26327"
"300641","15809"
"300643","34895"
"300644","10661"
"300645","38765"
"300647","18091"
"300648","15809"
"300649","25911"
"300650","21849"
"300651",""
"300652","31415"
"300653","611"
"300654","13813"
"300655","1586"
"300659","20164"
"300661","23771"
"300665","1343"
"300666",""
"300668","10784"
"300670","21849"
"300672","1343"
"300675","1343"
"300677","20164"
"300678","38691"
"300680","15168"
"300681","1685"
"300683","37843"
"300686","18440"
"300687","37843"
"300688","13356"
"300689","25879"
"300691","1356709"
"300693","34509"
"300694","188"
"300695","18440"
"300696","234"
"300698","36305"
"300700","38325"
"300701","1821"
"300704","5445"
"300707","3512"
"300708",""
"300709","4627"
"300711","30333"
"300718","446497"
"300720","14606"
"300721","18274"
"300722","23705"
"300723","27043"
"300724","12950"
"300725","598"
"300729","598"
"300730","15168"
"300731","20860"
"300732","51292"
"300733","12950"
"300734","36559"
"300735","29157"
"300736","6903"
"300737","9224"
"300738","29491"
"300739","1356709"
"300740","33325"
"300741","34596"
"300742",""
"300743","1356709"
"300748","32470"
"300750","9965"
"300751","10661"
"300752","22517"
"300753","33325"
"300756","1343"
"300758","36559"
"300759","21817"
"300760","592"
"300762","20267"
"300763","34329"
"300767","1356709"
"300768","24734"
"300769","19224"
"300770","38666"
"300771","25507"
"300772","8090"
"300774","29157"
"300775","28074"
"300776","9922"
"300777","14537"
"300778","32632"
"300781","10292"
"300782","2199"
"300783","33686"
"300784","16076"
"300789","5618"
"300790","16076"
"300792","1042"
"300796","38666"
"300797","8091"
"300798","20267"
"300799","8090"
"300800","25507"
"300801","38787"
"300803","6903"
"300805","14167"
"300806","2469"
"300807","29812"
"300810","5922"
"300811","4304"
"300812","15409"
"300813","31962"
"300816","12943"
"300817","5573"
"300818","3354"
"300819","15962"
"300820","23651"
"300821","12915"
"300823","9021"
"300824","492"
"300825","13154"
"300826","38787"
"300827","30333"
"300830","8014"
"300831","2199"
"300832","34092"
